SEGMENTO;LISTAGEM;;
Acessórios;MNDL;;
Acessórios;TECN;;
Acessórios;VIVA;;
Eletrodomésticos;WHRL;;
Móveis;UCAS;;
Utensílios Domésticos;HETA;;
Automóveis e Motocicletas;MYPK;;
Automóveis e Motocicletas;LEVE;;
Automóveis e Motocicletas;PLAS;;
Hotelaria;HOOT;;
Restaurante e Similares;MEAL;;
Restaurante e Similares;ZAMP;;
Bicicletas;BMKS;;
Brinquedos e Jogos;ESTR;;
Produção de Eventos e Shows;AHEB;;
Produção de Eventos e Shows;SHOW;;
Viagens e Turismo;CVCB;;
Atividades Esportivas;SMFT;;
Serviços Educacionais;ANIM;;
Serviços Educacionais;BAHI;;
Serviços Educacionais;COGN;;
Serviços Educacionais;CSED;;
Serviços Educacionais;SEER;;
Serviços Educacionais;YDUQ;;
Aluguel de carros;RENT;;
Aluguel de carros;MSRO;;
Aluguel de carros;MOVI;;
Aluguel de carros;VAMO;;
Programas de Fidelização;DOTZ;;
Tecidos, Vestuário e Calçados;ARZZ;;
Tecidos, Vestuário e Calçados;CEAB;;
Tecidos, Vestuário e Calçados;CGRA;;
Tecidos, Vestuário e Calçados;SOMA;;
Tecidos, Vestuário e Calçados;GUAR;;
Tecidos, Vestuário e Calçados;AMAR;;
Tecidos, Vestuário e Calçados;LREN;;
Tecidos, Vestuário e Calçados;VSTE;;
Eletrodomésticos;ALLD;;
Eletrodomésticos;MGLU;;
Eletrodomésticos;VIIA;;
Produtos Diversos;AMER;;
Produtos Diversos;ESPA;;
Produtos Diversos;SBFG;;
Produtos Diversos;LLBI;;
Produtos Diversos;PETZ;;
Produtos Diversos;LJQQ;;
Produtos Diversos;SLED;;
Medicamentos e Outros Produtos;BIOM;;
Medicamentos e Outros Produtos;NRTQ;;
Medicamentos e Outros Produtos;OFSA;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;AALR;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;DASA;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;FLRY;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;HAPV;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;KRSA;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;MATD;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;ODPV;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;ONCO;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;QUAL;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;RDOR;;
Equipamentos;BALM;;
Equipamentos;LMED;;
Medicamentos e Outros Produtos;BLAU;;
Medicamentos e Outros Produtos;DMVF;;
Medicamentos e Outros Produtos;PNVL;;
Medicamentos e Outros Produtos;HYPE;;
Medicamentos e Outros Produtos;PGMN;;
Medicamentos e Outros Produtos;PFRM;;
Medicamentos e Outros Produtos;RADL;;
Medicamentos e Outros Produtos;VVEO;;
Computadores e Equipamentos;INTB;;
Computadores e Equipamentos;MLAS;;
Computadores e Equipamentos;POSI;;
Programas e Serviços;BMOB;;
Programas e Serviços;BRQB;;
Programas e Serviços;ENJU;;
Programas e Serviços;NINJ;;
Programas e Serviços;IFCM;;
Programas e Serviços;LWSA;;
Programas e Serviços;CASH;;
Programas e Serviços;MBLY;;
Programas e Serviços;NGRD;;
Programas e Serviços;PDTC;;
Programas e Serviços;QUSW;;
Programas e Serviços;SQIA;;
Programas e Serviços;TRAD;;
Programas e Serviços;TOTS;;
Programas e Serviços;LVTC;;
Programas e Serviços;WEST;;
Telecomunicações;ALGT;;
Telecomunicações;BRIT;;
Telecomunicações;DESK;;
Telecomunicações;OIBR;;
Telecomunicações;TELB;;
Telecomunicações;VIVT;;
Telecomunicações;TIMS;;
Telecomunicações;FIQE;;
Produção e Difusão de Filmes e Programas;CNSY;;
Publicidade e Propaganda;ELMD;;
Energia Elétrica;AESB;;
Energia Elétrica;AESL;;
Energia Elétrica;AESO;;
Energia Elétrica;AFLT;;
Energia Elétrica;ALUP;;
Energia Elétrica;CBEE;;
Energia Elétrica;AURE;;
Energia Elétrica;CPTE;;
Energia Elétrica;CEBR;;
Energia Elétrica;CEED;;
Energia Elétrica;CLSC;;
Energia Elétrica;GPAR;;
Energia Elétrica;CMIG;;
Energia Elétrica;CEEB;;
Energia Elétrica;COCE;;
Energia Elétrica;COMR;;
