Açucar e Alcool;JALL;;
Açucar e Alcool;RESA;;
Açucar e Alcool;SMTO;;
Carnes e Derivados;;;
Carnes e Derivados;BRFS;;
Carnes e Derivados;BAUH;;
Carnes e Derivados;JBSS;;
Carnes e Derivados;MRFG;;
Carnes e Derivados;BEEF;;
Carnes e Derivados;MNPR;;
Alimentos Diversos;;;
Alimentos Diversos;CAML;;
Alimentos Diversos;JOPA;;
Alimentos Diversos;MDIA;;
Alimentos Diversos;ODER;;
Cervejas e Refrigerantes;;;
Cervejas e Refrigerantes;ABEV;;
Produtos de Cuidado Pessoal;;;
Produtos de Cuidado Pessoal;NTCO;;
Produtos de Limpeza;;;
Produtos de Limpeza;BOBR;;
Alimentos;;;
Alimentos;ASAI;;
Alimentos;CRFB;;
Alimentos;GMAT;;
Alimentos;PCAR;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Incorporações;;;
Incorporações;AVLL;;
Incorporações;CALI;;
Incorporações;CURY;;
Incorporações;CYRE;;
Incorporações;DIRR;;
Incorporações;EVEN;;
Incorporações;EZTC;;
Incorporações;FIEI;;
Incorporações;GFSA;;
Incorporações;HBOR;;
Incorporações;INNT;;
Incorporações;JHSF;;
Incorporações;JFEN;;
Incorporações;KLAS;;
Incorporações;LAVV;;
Incorporações;MELK;;
Incorporações;MTRE;;
Incorporações;MDNE;;
Incorporações;MRVE;;
Incorporações;PDGR;;
Incorporações;PLPL;;
Incorporações;RDNI;;
Incorporações;RSID;;
Incorporações;TCSA;;
Incorporações;TEGA;;
Incorporações;TEND;;
Incorporações;TRIS;;
Incorporações;VIVR;;
Fios e Tecidos;;;
Fios e Tecidos;CEDO;;
Fios e Tecidos;CTNM;;
Fios e Tecidos;DOHL;;
Fios e Tecidos;CATA;;
Fios e Tecidos;CTKA;;
Fios e Tecidos;PTNT;;
Fios e Tecidos;CTSA;;
Fios e Tecidos;SGPS;;
Fios e Tecidos;TEKA;;
Fios e Tecidos;TXRX;;
Vestuário;;;
Vestuário;TFCO;;
Calçados;;;
Calçados;ALPA;;
Calçados;CAMB;;
Calçados;GRND;;
Calçados;VULC;;
Acessórios;;;
Acessórios;MNDL;;
Acessórios;TECN;;
Acessórios;VIVA;;
Eletrodomésticos;;;
Eletrodomésticos;WHRL;;
Móveis;;;
Móveis;MBLY;;
Móveis;UCAS;;
Móveis;WEST;;
Utensílios Domésticos;;;
Utensílios Domésticos;HETA;;
Automóveis e Motocicletas;;;
Automóveis e Motocicletas;MYPK;;
Automóveis e Motocicletas;LEVE;;
Automóveis e Motocicletas;PLAS;;
Hotelaria;;;
Hotelaria;HOOT;;
Restaurante e Similares;;;
Restaurante e Similares;MEAL;;
Restaurante e Similares;ZAMP;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Bicicletas;;;
Bicicletas;BMKS;;
Brinquedos e Jogos;;;
Brinquedos e Jogos;ESTR;;
Produção de Eventos e Shows;;;
Produção de Eventos e Shows;AHEB;;
Produção de Eventos e Shows;SHOW;;
Viagens e Turismo;;;
Viagens e Turismo;CVCB;;
Atividades Esportivas;;;
Atividades Esportivas;SMFT;;
Serviços Educacionais;;;
Serviços Educacionais;ANIM;;
Serviços Educacionais;BAHI;;
Serviços Educacionais;COGN;;
Serviços Educacionais;CSED;;
Serviços Educacionais;SEER;;
Serviços Educacionais;YDUQ;;
Aluguel de carros;;;
Aluguel de carros;RENT;;
Aluguel de carros;MSRO;;
Aluguel de carros;MOVI;;
Aluguel de carros;VAMO;;
Programas de Fidelização;;;
Programas de Fidelização;DOTZ;;
Tecidos, Vestuário e Calçados;;;
Tecidos, Vestuário e Calçados;ARZZ;;
Tecidos, Vestuário e Calçados;CEAB;;
Tecidos, Vestuário e Calçados;CGRA;;
Tecidos, Vestuário e Calçados;SOMA;;
Tecidos, Vestuário e Calçados;GUAR;;
Tecidos, Vestuário e Calçados;AMAR;;
Tecidos, Vestuário e Calçados;LREN;;
Tecidos, Vestuário e Calçados;VSTE;;
Eletrodomésticos;;;
Eletrodomésticos;ALLD;;
Eletrodomésticos;BHIA;;
Eletrodomésticos;MGLU;;
Produtos Diversos;;;
Produtos Diversos;AMER;;
Produtos Diversos;ESPA;;
Produtos Diversos;SBFG;;
